ID,ACORN_Category
MAC002929,Rising Prosperity
MAC001869,Rising Prosperity
MAC002050,Rising Prosperity
MAC004178,Rising Prosperity
MAC002725,Rising Prosperity
MAC005324,Rising Prosperity
MAC001867,Rising Prosperity
MAC005224,Rising Prosperity
MAC002036,Rising Prosperity
MAC005349,Rising Prosperity
MAC002931,Rising Prosperity
MAC005354,Rising Prosperity
MAC001235,Rising Prosperity
MAC002024,Rising Prosperity
MAC005280,Rising Prosperity
MAC000931,Rising Prosperity
MAC000884,Rising Prosperity
MAC002851,Rising Prosperity
MAC001221,Rising Prosperity
MAC005255,Rising Prosperity
MAC005211,Rising Prosperity
MAC001437,Rising Prosperity
MAC000393,Rising Prosperity
MAC001420,Rising Prosperity
MAC000531,Rising Prosperity
MAC004225,Rising Prosperity
MAC000830,Rising Prosperity
MAC000322,Rising Prosperity
MAC000522,Rising Prosperity
MAC001402,Rising Prosperity
MAC004205,Rising Prosperity
MAC004198,Rising Prosperity
MAC002063,Rising Prosperity
MAC005219,Rising Prosperity
MAC004193,Rising Prosperity
MAC000857,Rising Prosperity
MAC002014,Rising Prosperity
MAC002010,Rising Prosperity
MAC000985,Rising Prosperity
MAC000462,Rising Prosperity
MAC002765,Rising Prosperity
MAC004016,Rising Prosperity
MAC005244,Rising Prosperity
MAC001166,Rising Prosperity
MAC005249,Rising Prosperity
MAC004026,Rising Prosperity
MAC001964,Rising Prosperity
MAC005252,Rising Prosperity
MAC005273,Rising Prosperity
MAC001116,Rising Prosperity
MAC005254,Rising Prosperity
MAC001956,Rising Prosperity
MAC004051,Rising Prosperity
MAC002779,Rising Prosperity
MAC004075,Rising Prosperity
MAC005261,Rising Prosperity
MAC004070,Rising Prosperity
MAC001980,Rising Prosperity
MAC004242,Rising Prosperity
MAC002805,Rising Prosperity
MAC004006,Rising Prosperity
MAC001897,Rising Prosperity
MAC003958,Rising Prosperity
MAC001232,Rising Prosperity
MAC000455,Rising Prosperity
MAC002820,Rising Prosperity
MAC005275,Rising Prosperity
MAC002751,Rising Prosperity
MAC001999,Rising Prosperity
MAC002812,Rising Prosperity
MAC003987,Rising Prosperity
MAC002741,Rising Prosperity
MAC001255,Rising Prosperity
MAC002891,Rising Prosperity
MAC000442,Rising Prosperity
MAC000326,Rising Prosperity
MAC001258,Rising Prosperity
MAC004111,Rising Prosperity
MAC004007,Rising Prosperity
MAC000155,Rising Prosperity
MAC000503,Rising Prosperity
MAC000814,Rising Prosperity
MAC005318,Rising Prosperity
MAC002885,Rising Prosperity
MAC004276,Rising Prosperity
MAC002109,Rising Prosperity
MAC001803,Rising Prosperity
MAC005316,Rising Prosperity
MAC001359,Rising Prosperity
MAC005134,Rising Prosperity
MAC002138,Rising Prosperity
MAC005184,Rising Prosperity
MAC005106,Rising Prosperity
MAC004340,Rising Prosperity
MAC002137,Rising Prosperity
MAC001800,Rising Prosperity
MAC005179,Rising Prosperity
MAC005182,Rising Prosperity
MAC004280,Rising Prosperity
MAC002884,Rising Prosperity
MAC004292,Rising Prosperity
MAC004348,Rising Prosperity
MAC001495,Rising Prosperity
MAC002622,Rising Prosperity
MAC005181,Rising Prosperity
MAC002645,Rising Prosperity
MAC005206,Rising Prosperity
MAC001821,Rising Prosperity
MAC005195,Rising Prosperity
MAC000803,Rising Prosperity
MAC004311,Rising Prosperity
MAC005070,Rising Prosperity
MAC000572,Rising Prosperity
MAC000551,Rising Prosperity
MAC005205,Rising Prosperity
MAC000291,Rising Prosperity
MAC002670,Rising Prosperity
MAC002144,Rising Prosperity
MAC001787,Rising Prosperity
MAC002543,Rising Prosperity
MAC002556,Rising Prosperity
MAC002660,Rising Prosperity
MAC005399,Rising Prosperity
MAC002545,Rising Prosperity
MAC005329,Rising Prosperity
MAC002681,Rising Prosperity
MAC002752,Rising Prosperity
MAC005323,Rising Prosperity
MAC002542,Rising Prosperity
MAC002656,Rising Prosperity
MAC002546,Rising Prosperity
MAC005276,Rising Prosperity
MAC005314,Rising Prosperity
MAC002683,Rising Prosperity
MAC005326,Rising Prosperity
MAC005394,Rising Prosperity
MAC005327,Rising Prosperity
MAC005393,Rising Prosperity
MAC005315,Rising Prosperity
MAC002548,Rising Prosperity
MAC002549,Rising Prosperity
MAC002550,Rising Prosperity
MAC002750,Rising Prosperity
MAC005313,Rising Prosperity
MAC005392,Rising Prosperity
MAC000113,Rising Prosperity
MAC002754,Rising Prosperity
MAC002517,Rising Prosperity
MAC005322,Rising Prosperity
MAC005412,Rising Prosperity
MAC005270,Rising Prosperity
MAC005415,Rising Prosperity
MAC002764,Rising Prosperity
MAC002514,Rising Prosperity
MAC002663,Rising Prosperity
MAC002513,Rising Prosperity
MAC002512,Rising Prosperity
MAC005269,Rising Prosperity
MAC005416,Rising Prosperity
MAC002510,Rising Prosperity
MAC002666,Rising Prosperity
MAC002767,Rising Prosperity
MAC002509,Rising Prosperity
MAC005319,Rising Prosperity
MAC002518,Rising Prosperity
MAC002519,Rising Prosperity
MAC002761,Rising Prosperity
MAC005403,Rising Prosperity
MAC002539,Rising Prosperity
MAC005404,Rising Prosperity
MAC005405,Rising Prosperity
MAC002530,Rising Prosperity
MAC002676,Rising Prosperity
MAC005331,Rising Prosperity
MAC005407,Rising Prosperity
MAC005408,Rising Prosperity
MAC002525,Rising Prosperity
